price,vehicle_type,registration_year,transmission_type,power_ps,kilometer,fuel_type,brand,unrepaired_damage,vehicle_age
5000,van,2004,manual,158,150000,lpg,Peugeot,no,12
8500,sedan,1997,automatic,286,150000,petrol,BMW,no,19
8990,sedan,2009,manual,102,70000,petrol,Volkswagen,no,7
4350,small car,2007,automatic,71,70000,petrol,Smart,no,9
1350,station wagon,2003,manual,113,150000,petrol,Ford,no,13
7900,van,2006,automatic,150,150000,diesel,Chrysler,unknown,10
1990,sedan,1998,manual,90,150000,diesel,Volkswagen,no,18
590,van,1997,manual,90,150000,petrol,Renault,no,19
5299,small car,2010,automatic,71,50000,petrol,Smart,no,6
1350,sedan,1999,manual,101,150000,petrol,Audi,no,17
3999,small car,2007,manual,75,150000,petrol,Renault,unknown,9
18900,coupe,1982,automatic,203,80000,petrol,Sonstige_Autos,no,34
5500,coupe,1990,manual,205,150000,petrol,Volkswagen,no,26
4150,suv,2004,manual,124,150000,lpg,Mazda,no,12
3500,station wagon,2003,manual,131,150000,diesel,Audi,unknown,13
41500,convertible,2004,manual,320,150000,petrol,Porsche,no,12
25450,convertible,2015,manual,184,10000,petrol,MINI,no,1
7999,van,2010,manual,120,150000,diesel,Peugeot,no,6
48500,sedan,2014,automatic,306,30000,petrol,BMW,no,2
777,small car,1992,manual,113,125000,petrol,Volkswagen,no,24
5250,small car,2007,manual,110,150000,diesel,MINI,yes,9
4999,station wagon,2004,automatic,204,150000,diesel,Mercedes_Benz,no,12
2850,station wagon,2002,automatic,218,150000,petrol,Mercedes_Benz,no,14
4800,station wagon,2006,manual,140,150000,diesel,Audi,no,10
2600,station wagon,2000,automatic,193,150000,diesel,BMW,unknown,16
1200,station wagon,1998,manual,113,150000,petrol,Ford,no,18
7500,station wagon,2007,manual,131,150000,diesel,Ford,no,9
13800,van,2012,manual,140,90000,diesel,Seat,no,4
2850,sedan,2002,manual,75,125000,petrol,Volkswagen,no,14
1450,station wagon,1999,automatic,122,150000,petrol,Mercedes_Benz,no,17
3500,convertible,1999,manual,150,150000,petrol,Volkswagen,no,17
3200,station wagon,2003,manual,131,150000,other,Volkswagen,no,13
11900,small car,2014,manual,60,20000,petrol,Volkswagen,unknown,2
11500,small car,2011,manual,86,60000,petrol,Audi,no,5
900,small car,1998,manual,113,150000,petrol,Renault,no,18
1000,small car,1995,manual,75,150000,petrol,Toyota,no,21
9000,Unknown,2005,automatic,113,150000,other,BMW,unknown,11
3499,sedan,2008,manual,95,150000,petrol,Mercedes_Benz,no,8
1099,sedan,1998,manual,122,150000,petrol,Mercedes_Benz,no,18
56000,coupe,2012,automatic,435,60000,petrol,Mercedes_Benz,no,4
5999,station wagon,2008,manual,150,125000,petrol,Peugeot,no,8
6000,sedan,2005,automatic,204,150000,diesel,Mercedes_Benz,yes,11
3500,sedan,1985,Unknown,113,5000,petrol,Opel,no,31
9000,sedan,2012,manual,84,30000,petrol,Dacia,no,4
2500,sedan,2004,manual,116,125000,petrol,Ford,no,12
650,small car,1997,manual,113,125000,petrol,Renault,unknown,19
4100,station wagon,2007,manual,140,150000,diesel,Volkswagen,no,9
4200,sedan,2004,manual,75,125000,petrol,Volkswagen,no,12
700,Unknown,2016,manual,113,150000,petrol,Mercedes_Benz,unknown,0
1199,sedan,1996,Unknown,90,150000,petrol,Volkswagen,no,20
995,sedan,1994,manual,101,150000,petrol,Nissan,no,22
6300,van,2006,manual,116,125000,petrol,Volkswagen,no,10
13950,small car,2011,manual,184,70000,petrol,MINI,no,5
2250,small car,2005,manual,80,150000,petrol,Opel,no,11
4800,suv,1992,manual,121,150000,petrol,Jeep,unknown,24
2500,small car,2009,manual,75,90000,petrol,Dacia,no,7
1750,convertible,1999,manual,131,150000,petrol,Saab,no,17
8100,station wagon,2008,automatic,179,150000,other,Audi,no,8
2700,van,1986,manual,113,125000,diesel,Volkswagen,unknown,30
1500,station wagon,2006,manual,113,150000,petrol,Opel,no,10
3800,sedan,1990,automatic,204,150000,petrol,Volvo,no,26
31999,sedan,2016,manual,136,5000,petrol,BMW,unknown,0
2200,station wagon,2001,manual,108,150000,petrol,Volvo,unknown,15
6300,small car,2007,manual,131,150000,diesel,Seat,unknown,9
2000,small car,2007,manual,65,150000,petrol,Nissan,yes,9
4700,sedan,2001,manual,170,150000,petrol,BMW,no,15
8490,sedan,2008,manual,143,150000,diesel,BMW,no,8
5000,small car,2009,manual,113,60000,other,Toyota,unknown,7
1800,sedan,1997,automatic,193,150000,petrol,BMW,no,19
7900,sedan,2005,automatic,177,125000,petrol,Audi,no,11
34900,convertible,2014,automatic,150,20000,diesel,Audi,no,2
